"Nom";"ISIN";"Symbole";"Place";"Maturité";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Bonds";"";;;;;;;;;;;;
"09 Avr 2019";;;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;;
"AAB 0.875%14JAN26";"XS1344751968";;"Euronext Amsterdam";"2026-01-14";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1%13APR31";"XS1394791492";;"Euronext Amsterdam";"2031-04-13";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1%16APR25";"XS1218821756";;"Euronext Amsterdam";"2025-04-16";"%";"103.98";"103.98";"103.98";"103.98";"08/04/2019 12:42";"CET";"25000";"25995.00"
"AAB 1,625%03JUN19";"XS0940002628";;"Euronext Amsterdam";"2019-06-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.125% 12JAN32";"XS1548458014";;"Euronext Amsterdam";"2032-01-12";"%";"98.24";"98.24";"98.24";"98.24";"22/02/2017 14:10";"CET";"100000";"98372.53"
"AAB 1.211%27JAN23";"XS1352924275";;"Euronext Amsterdam";"2023-01-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.29%10MCH36";"XS1377257032";;"Euronext Amsterdam";"2036-03-10";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.375%12JAN37";"XS1548493946";;"Euronext Amsterdam";"2037-01-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.375%12JAN37";"XS1645503621";;"Euronext Amsterdam";"2037-01-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.5125%18MCH36";"XS1381467585";;"Euronext Amsterdam";"2036-03-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.518 8JUN38";"XS1834053149";;"Euronext Amsterdam";"2038-06-08";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.606%14SEP37";"XS1681558679";;"Euronext Amsterdam";"2037-09-14";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.75%18JUN19";"XS0904039236";;"Euronext Amsterdam";"2019-06-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.875%31JUL19";"XS0810731637";;"Euronext Amsterdam";"2019-07-31";"%";"101.00";"101.01";"101.00";"101.01";"21/01/2019 10:23";"CET";"162000";"163623.10"
"AAB 1.888%15MCH31";"XS1379607291";;"Euronext Amsterdam";"2031-03-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 2%30JUL19";"XS0955560353";;"Euronext Amsterdam";"2019-07-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 2.375%23JAN24";"XS1020769748";;"Euronext Amsterdam";"2024-01-23";"%";"112.10";"112.10";"109.49";"109.49";"05/10/2018 13:58";"CET";"50000";"55397.50"
"AAB 2.5%29NOV2023";"XS0937858271";;"Euronext Amsterdam";"2023-11-29";"%";"110.39";"110.39";"110.39";"110.39";"05/04/2019 10:49";"CET";"1000";"1103900.00"
"AAB 2.5%5SEP2023";"XS0968926757";;"Euronext Amsterdam";"2023-09-05";"%";"114.11";"114.11";"114.11";"114.11";"18/01/2016 16:06";"CET";"50000";"57522.90"
